"GEOID","NAME","variable","Total","White","Black","Native","Asian","PI","Other","Multiple","Diversity"
"01001","Autauga County, Alabama","B02001_001",1.001,0.769,0.185,0.004,0.008,0.001,0.014,0.02,0.374987649712925
"01003","Baldwin County, Alabama","B02001_001",1,0.864,0.093,0.007,0.007,0,0.009,0.02,0.244276
"01005","Barbour County, Alabama","B02001_001",1,0.467,0.479,0.002,0.005,0,0.041,0.006,0.550724
"01007","Bibb County, Alabama","B02001_001",1.001,0.77,0.212,0.004,0.001,0,0,0.014,0.363217202378042
"01009","Blount County, Alabama","B02001_001",1,0.954,0.016,0.003,0.002,0,0.009,0.016,0.0892780000000001
"01011","Bullock County, Alabama","B02001_001",1,0.218,0.755,0.008,0.008,0,0,0.011,0.382202
"01013","Butler County, Alabama","B02001_001",1,0.536,0.438,0.001,0.01,0,0.002,0.013,0.520586
"01015","Calhoun County, Alabama","B02001_001",1,0.749,0.205,0.003,0.009,0,0.011,0.023,0.396234
"01017","Chambers County, Alabama","B02001_001",0.999,0.571,0.405,0.002,0.009,0,0.001,0.011,0.508744981217454
"01019","Cherokee County, Alabama","B02001_001",1,0.933,0.047,0.006,0.004,0,0,0.01,0.12715
"01021","Chilton County, Alabama","B02001_001",0.999,0.838,0.101,0.003,0.004,0,0.043,0.01,0.284150015881748
"01023","Choctaw County, Alabama","B02001_001",0.999,0.564,0.426,0,0,0,0,0.009,0.499346193039887
"01025","Clarke County, Alabama","B02001_001",0.999,0.533,0.455,0,0.005,0.001,0,0.005,0.507851194537881
"01027","Clay County, Alabama","B02001_001",1,0.829,0.148,0.009,0,0,0.005,0.009,0.290668
"01029","Cleburne County, Alabama","B02001_001",1.001,0.946,0.024,0.001,0.006,0,0.004,0.02,0.105844205744306
"01031","Coffee County, Alabama","B02001_001",0.999,0.764,0.172,0.008,0.012,0,0.01,0.033,0.384091799507215
"01033","Colbert County, Alabama","B02001_001",1.001,0.798,0.157,0.006,0.005,0.001,0.011,0.023,0.339157346150353
"01035","Conecuh County, Alabama","B02001_001",0.999,0.519,0.463,0.001,0.001,0,0,0.015,0.515073632190749
"01037","Coosa County, Alabama","B02001_001",1.001,0.663,0.324,0.001,0,0,0,0.013,0.45637279803114
"01039","Covington County, Alabama","B02001_001",1,0.845,0.131,0.003,0.005,0.001,0.004,0.011,0.268642
"01041","Crenshaw County, Alabama","B02001_001",1,0.715,0.238,0.009,0.017,0,0.013,0.008,0.431528
