"Label (Grouping)","Total:","Total:!!White alone","Total:!!Black or African American alone","Total:!!American Indian and Alaska Native alone","Total:!!Asian alone","Total:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Some other race alone","Total:!!Two or more races:","Total:!!Two or more races:!!Two races including Some other race","Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"Autauga County, Alabama","","","","","","","","","",""
"    Estimate","55,639","42,150","10,866","155","649","24","374","1,421","346","1,075"
"Baldwin County, Alabama","","","","","","","","","",""
"    Estimate","218,289","186,504","19,153","1,514","2,033","10","3,398","5,677","1,519","4,158"
"Barbour County, Alabama","","","","","","","","","",""
"    Estimate","25,026","11,587","11,929","88","122","1","777","522","232","290"
"Bibb County, Alabama","","","","","","","","","",""
"    Estimate","22,374","17,138","5,045","12","56","0","9","114","0","114"
"Blount County, Alabama","","","","","","","","","",""
"    Estimate","57,755","54,271","808","55","236","55","1,037","1,293","264","1,029"
"Bullock County, Alabama","","","","","","","","","",""
"    Estimate","10,173","2,663","6,980","0","137","0","318","75","7","68"
"Butler County, Alabama","","","","","","","","","",""
"    Estimate","19,726","10,183","8,795","66","261","0","98","323","93","230"
"Calhoun County, Alabama","","","","","","","","","",""
"    Estimate","114,324","83,801","24,190","358","925","327","1,871","2,852","262","2,590"
"Chambers County, Alabama","","","","","","","","","",""
"    Estimate","33,427","19,015","13,372","81","368","9","264","318","51","267"
"Cherokee County, Alabama","","","","","","","","","",""
"    Estimate","26,035","23,970","1,250","150","26","0","212","427","82","345"
"Chilton County, Alabama","","","","","","","","","",""
"    Estimate","44,147","36,260","4,268","504","195","0","1,571","1,349","543","806"
"Choctaw County, Alabama","","","","","","","","","",""
"    Estimate","12,755","7,253","5,398","7","25","0","11","61","0","61"
"Clarke County, Alabama","","","","","","","","","",""
"    Estimate","23,866","12,520","10,909","18","109","0","47","263","0","263"
"Clay County, Alabama","","","","","","","","","",""
"    Estimate","13,285","11,068","2,035","20","33","0","6","123","27","96"
"Cleburne County, Alabama","","","","","","","","","",""
"    Estimate","14,952","13,955","394","21","1","0","281","300","3","297"
"Coffee County, Alabama","","","","","","","","","",""
"    Estimate","52,238","39,014","8,906","523","843","0","675","2,277","263","2,014"
"Colbert County, Alabama","","","","","","","","","",""
"    Estimate","54,957","43,279","8,909","313","282","57","985","1,132","118","1,014"
"Conecuh County, Alabama","","","","","","","","","",""
"    Estimate","12,219","6,176","5,872","20","70","0","0","81","0","81"
"Coosa County, Alabama","","","","","","","","","",""
"    Estimate","10,696","7,052","3,451","32","0","0","68","93","0","93"
"Covington County, Alabama","","","","","","","","","",""
"    Estimate","37,096","31,260","4,707","78","245","32","133","641","21","620"
"Crenshaw County, Alabama","","","","","","","","","",""
"    Estimate","13,826","9,890","3,267","104","183","8","58","316","23","293"
"Cullman County, Alabama","","","","","","","","","",""
"    Estimate","83,345","78,295","943","295","304","0","758","2,750","1,065","1,685"
"Dale County, Alabama","","","","","","","","","",""
"    Estimate","49,293","35,286","10,193","413","680","0","1,081","1,640","106","1,534"
"Dallas County, Alabama","","","","","","","","","",""
"    Estimate","38,184","10,394","27,290","48","250","11","1","190","0","190"
"DeKalb County, Alabama","","","","","","","","","",""
"    Estimate","71,430","60,554","1,093","850","76","92","6,256","2,509","1,081","1,428"
"Elmore County, Alabama","","","","","","","","","",""
"    Estimate","81,526","61,073","17,230","241","749","0","588","1,645","426","1,219"
"Escambia County, Alabama","","","","","","","","","",""
"    Estimate","36,775","22,757","11,774","1,391","103","43","137","570","115","455"
"Etowah County, Alabama","","","","","","","","","",""
