"bill","policy","sponsor","cosponsors"
"S_1","International Affairs","Sen. Rubio, Marco [R-FL]","Sen. Gardner, Cory [R-CO]"
"S_1","International Affairs","Sen. Rubio, Marco [R-FL]","Sen. McConnell, Mitch [R-KY]"
"S_1","International Affairs","Sen. Rubio, Marco [R-FL]","Sen. Blunt, Roy [R-MO]"
"S_1","International Affairs","Sen. Rubio, Marco [R-FL]","Sen. Cramer, Kevin [R-ND]"
"S_1","International Affairs","Sen. Rubio, Marco [R-FL]","Sen. Cruz, Ted [R-TX]"
"S_1","International Affairs","Sen. Rubio, Marco [R-FL]","Sen. Wicker, Roger F. [R-MS]"
"S_1","International Affairs","Sen. Rubio, Marco [R-FL]","Sen. Risch, James E. [R-ID]"
"S_1","International Affairs","Sen. Rubio, Marco [R-FL]","Sen. Hyde-Smith, Cindy [R-MS]"
"S_1","International Affairs","Sen. Rubio, Marco [R-FL]","Sen. Collins, Susan M. [R-ME]"
"S_1","International Affairs","Sen. Rubio, Marco [R-FL]","Sen. Rounds, Mike  [R-SD]"
"S_1","International Affairs","Sen. Rubio, Marco [R-FL]","Sen. Roberts, Pat [R-KS]"
"S_1","International Affairs","Sen. Rubio, Marco [R-FL]","Sen. Inhofe, James M. [R-OK]"
"S_10","Environmental Protection","Sen. Rubio, Marco [R-FL]","Sen. Scott, Rick  [R-FL]"
"S_100","Public Lands and Natural Resources","Sen. Thune, John [R-SD]","Sen. Rounds, Mike  [R-SD]"
"S_1000","Taxation","Sen. Rubio, Marco [R-FL]","Sen. Scott, Rick  [R-FL]"
"S_1001","Native Americans","Sen. Thune, John [R-SD]","Sen. Rounds, Mike  [R-SD]"
"S_1002","Education","Sen. Merkley, Jeff [D-OR]","Sen. Stabenow, Debbie [D-MI]"
"S_1002","Education","Sen. Merkley, Jeff [D-OR]","Sen. Gillibrand, Kirsten E. [D-NY]"
"S_1002","Education","Sen. Merkley, Jeff [D-OR]","Sen. Baldwin, Tammy [D-WI]"
"S_1002","Education","Sen. Merkley, Jeff [D-OR]","Sen. Blumenthal, Richard [D-CT]"
"S_1002","Education","Sen. Merkley, Jeff [D-OR]","Sen. Schatz, Brian [D-HI]"
"S_1002","Education","Sen. Merkley, Jeff [D-OR]","Sen. Cardin, Benjamin L. [D-MD]"
"S_1002","Education","Sen. Merkley, Jeff [D-OR]","Sen. Cortez Masto, Catherine  [D-NV]"
"S_1002","Education","Sen. Merkley, Jeff [D-OR]","Sen. Van Hollen, Chris [D-MD]"
"S_1002","Education","Sen. Merkley, Jeff [D-OR]","Sen. Wyden, Ron [D-OR]"
"S_1002","Education","Sen. Merkley, Jeff [D-OR]","Sen. Harris, Kamala D. [D-CA]"
"S_1003","Armed Forces and National Security","Sen. Rubio, Marco [R-FL]","Sen. Hassan, Margaret Wood [D-NH]"
"S_1003","Armed Forces and National Security","Sen. Rubio, Marco [R-FL]","Sen. Capito, Shelley Moore [R-WV]"
"S_1003","Armed Forces and National Security","Sen. Rubio, Marco [R-FL]","Sen. McSally, Martha [R-AZ]"
"S_1003","Armed Forces and National Security","Sen. Rubio, Marco [R-FL]","Sen. Cruz, Ted [R-TX]"
"S_1004","Immigration","Sen. Peters, Gary C. [D-MI]","Sen. Cornyn, John [R-TX]"
"S_1004","Immigration","Sen. Peters, Gary C. [D-MI]","Sen. Tester, Jon [D-MT]"
"S_1004","Immigration","Sen. Peters, Gary C. [D-MI]","Sen. Cassidy, Bill [R-LA]"
"S_1004","Immigration","Sen. Peters, Gary C. [D-MI]","Sen. Portman, Rob [R-OH]"
"S_1004","Immigration","Sen. Peters, Gary C. [D-MI]","Sen. Romney, Mitt  [R-UT]"
"S_1004","Immigration","Sen. Peters, Gary C. [D-MI]","Sen. Sinema, Kyrsten [D-AZ]"
"S_1004","Immigration","Sen. Peters, Gary C. [D-MI]","Sen. Hassan, Margaret Wood [D-NH]"
